id,Gender,Age , MONTHLY INCOME IN GHANA CEDIS,How long have you been a customer to VIP?,Tangibility [VIP transport facilities are in good shape and are kept clean],Tangibility [The buses used to provide transportation service are safe and in good condition],Reliability [Service promised by VIP transport is delivered as such],Reliability [VIP transport compounds are equipped to keep customers safe],Responsiveness  [The staff at VIP provide punctual service without delay],Responsiveness  [The staff are helpful and willing to help guide you],Assurance [The staff at VIP transport are able to inspire trust],"Assurance [The staff are friendly, courteous and polite]",Assurance [They have good communication skills and a positive approach to enquiring customers and waiting customers as well],Empathy [The staff show sincere interest in solving customer problems],Empathy [The staff makes customers feel welcomed],Empathy [The staff display patience in dealing with customers],"CUSTOMER SATISFACTION [Considering everything, I am satisfied with VIP transport]",CUSTOMER SATISFACTION [I am satisfied with staff attitude and behavior],CUSTOMER SATISFACTION [My experience with VIP transport has been enjoyable],CUSTOMER SATISFACTION [VIP transport always meets my expectations],CUSTOMER LOYALTY [I intend to continue using VIP transport as my transport provider],CUSTOMER LOYALTY [I will encourage friends and family to use the services of the company],CUSTOMER LOYALTY [I will prioritize this company when selecting a transportation company of the same category],CUSTOMER LOYALTY [I believe VIP transport deserves my loyalty],CUSTOMER LOYALTY [Over the past years my loyalty to VIP has grown stronger],,
1,Male,<30,≥1000,8-11 years,4,3,4,4,4,5,3,3,3,4,4,3,3,3,4,4,3,4,3,3,3,3,4
2,Male,<30,≥1000,< 4years,3,3,2,3,4,4,3,2,2,2,3,2,3,2,3,2,3,3,3,3,2,2,3
3,Female,<30,<200,4-7 years,3,2,2,2,3,3,3,1,1,1,1,1,2,2,2,2,1,1,2,2,3,2,2
4,Male,<30,<200,< 4years,3,3,3,3,3,3,5,5,4,2,2,2,2,3,2,3,2,3,3,2,3,3,3
5,Female,<30,800-999,< 4years,2,1,1,2,1,2,1,2,2,5,4,4,2,3,3,2,2,2,2,2,1,1,1
6,Male,30-35,≥1000,< 4years,4,4,4,4,3,3,3,3,3,3,3,3,4,3,4,4,4,4,5,3,3,4,4
7,Female,<30,600-799,< 4years,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
8,Male,<30,400-599,< 4years,3,3,3,4,2,4,3,3,4,3,3,4,3,3,4,4,3,4,4,3,3,4,3
9,Female,<30,600-799,< 4years,3,3,3,3,3,3,4,2,3,3,1,2,2,3,3,4,3,3,4,4,3,3,3
10,Male,<30,<200,< 4years,5,4,2,3,4,4,3,3,4,4,4,4,4,4,4,3,3,3,3,4,4,3,2
11,Male,<30,≥1000,4-7 years,5,4,4,3,4,5,4,3,3,4,3,4,4,3,3,4,3,3,3,4,3,4,3
