id,Gender,Age_,_MONTHLY_INCOME_IN_GHANA_CEDIS,How_long_have_you_been_a_customer_to_VIP?,Tangibility_[VIP_transport_facilities_are_in_good_shape_and_are_kept_clean],Tangibility_[The_buses_used_to_provide_transportation_service_are_safe_and_in_good_condition],Reliability_[Service_promised_by_VIP_transport_is_delivered_as_such],Reliability_[VIP_transport_compounds_are_equipped_to_keep_customers_safe],Responsiveness__[The_staff_at_VIP_provide_punctual_service_without_delay],Responsiveness__[The_staff_are_helpful_and_willing_to_help_guide_you],Assurance_[The_staff_at_VIP_transport_are_able_to_inspire_trust],"Assurance_[The_staff_are_friendly,_courteous_and_polite]",Assurance_[They_have_good_communication_skills_and_a_positive_approach_to_enquiring_customers_and_waiting_customers_as_well],Empathy_[The_staff_show_sincere_interest_in_solving_customer_problems],Empathy_[The_staff_makes_customers_feel_welcomed],Empathy_[The_staff_display_patience_in_dealing_with_customers],"CUSTOMER_SATISFACTION_[Considering_everything,_I_am_satisfied_with_VIP_transport]",CUSTOMER_SATISFACTION_[I_am_satisfied_with_staff_attitude_and_behavior],CUSTOMER_SATISFACTION_[My_experience_with_VIP_transport_has_been_enjoyable],CUSTOMER_SATISFACTION_[VIP_transport_always_meets_my_expectations],CUSTOMER_LOYALTY_[I_intend_to_continue_using_VIP_transport_as_my_transport_provider],CUSTOMER_LOYALTY_[I_will_encourage_friends_and_family_to_use_the_services_of_the_company],CUSTOMER_LOYALTY_[I_will_prioritize_this_company_when_selecting_a_transportation_company_of_the_same_category],CUSTOMER_LOYALTY_[I_believe_VIP_transport_deserves_my_loyalty],CUSTOMER_LOYALTY_[Over_the_past_years_my_loyalty_to_VIP_has_grown_stronger]
1,Male,<30,≥1000,8-11 years,4,3,4,4,4,5,3,3,3,4,4,3,3,3,4,4,3,4,3,3,3
2,Male,<30,≥1000,< 4years,3,3,2,3,4,4,3,2,2,2,3,2,3,2,3,2,3,3,3,3,2
3,Female,<30,<200,4-7 years,3,2,2,2,3,3,3,1,1,1,1,1,2,2,2,2,1,1,2,2,3
4,Male,<30,<200,< 4years,3,3,3,3,3,3,5,5,4,2,2,2,2,3,2,3,2,3,3,2,3
5,Female,<30,800-999,< 4years,2,1,1,2,1,2,1,2,2,5,4,4,2,3,3,2,2,2,2,2,1
6,Male,30-35,≥1000,< 4years,4,4,4,4,3,3,3,3,3,3,3,3,4,3,4,4,4,4,5,3,3
7,Female,<30,600-799,< 4years,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
8,Male,<30,400-599,< 4years,3,3,3,4,2,4,3,3,4,3,3,4,3,3,4,4,3,4,4,3,3
9,Female,<30,600-799,< 4years,3,3,3,3,3,3,4,2,3,3,1,2,2,3,3,4,3,3,4,4,3
10,Male,<30,<200,< 4years,5,4,2,3,4,4,3,3,4,4,4,4,4,4,4,3,3,3,3,4,4
11,Male,<30,≥1000,4-7 years,5,4,4,3,4,5,4,3,3,4,3,4,4,3,3,4,3,3,3,4,3
12,Male,<30,≥1000,4-7 years,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
13,Female,<30,<200,4-7 years,3,4,4,3,3,4,3,2,2,2,3,2,3,3,3,3,3,3,3,3,2
14,Female,<30,600-799,< 4years,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
15,Male,<30,200-399,< 4years,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
16,Female,<30,600-799,< 4years,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
17,Male,<30,600-799,< 4years,1,1,2,2,1,1,3,2,1,1,1,1,3,3,3,3,3,4,2,4,5
